Name,DateOfBirth,DateOfDeath,Type
"Kaus, Max",1891,1977,personal
"Kempe, Fritz",1909,1988,personal
"Onassis, Jacqueline Kennedy",1929,1994,personal
"Kennedy, John F.",1917,1963,personal
"Kerkovius, Ida",1879,1970,personal
"Kerschbaumer, Anton",1885,1931,personal
"Kertész, André",1894,1985,personal
"Kessler, Harry",1868,1937,personal
"Keynes, John Maynard",1883,1946,personal
"Kirchner, Ernst Ludwig",1880,1938,personal
"Klee, Paul",1879,1940,personal
"Klein, Yves",1928,1962,personal
"Klemm, Walther",1883,1957,personal
"Klemperer, Otto",1885,1973,personal
"Klemperer, Victor",1881,1960,personal
"Koch, Thilo",1920,2006,personal
"Kogan, Moissey",1879,1943,personal
"Kokoschka, Oskar",1886,1980,personal
"Korn, Karl",1908,1991,personal
"Kracauer, Siegfried",1889,1966,personal
"Kramer, Ferdinand",1898,1985,personal
"Kranz, Kurt",1910,1997,personal
"Krenek, Ernst",1900,1991,personal
"Krull, Germaine",1897,1985,personal
"Kubin, Alfred",1877,1959,personal
"Kuhfuß, Paul",1883,1960,personal
"Laban, Rudolf von",1879,1958,personal
"Lange, Horst",1904,1971,personal
"Langner, Ilse",1899,1987,personal
"Lasker-Schüler, Else",1869,1945,personal
"Steidle, Otto",1943,2004,personal
"Léger, Fernand",1881,1955,personal
"Leiris, Michel",1901,1990,personal
"Lenz, Siegfried",1926,2014,personal
"Liessner-Blomberg, Elena",1897,1978,personal
"Lipchitz, Jacques",1891,1973,personal
"Lisickij, Lazar' M.",1890,1941,personal
"List, Herbert",1903,1975,personal
"Loewy, Raymond",1893,1986,personal
"Lohse, Richard Paul",1902,1988,personal
"Loos, Adolf",1870,1933,personal
"Luther, Hans",1879,1962,personal
"Macke, August",1887,1914,personal
"Mackensen, Fritz",1866,1953,personal
"Mackintosh, Charles Rennie",1868,1928,personal
"MacLeish, Archibald",1892,1982,personal
"Märten, Lu",1879,1970,personal
"Mahlau, Alfred",1894,1967,personal
"Mahler, Anna",1904,1988,personal
"Mahler, Gustav",1860,1911,personal
"Mahler-Werfel, Alma Maria",1879,1964,personal
"Malraux, André",1901,1976,personal
"Mammen, Jeanne",1890,1976,personal
"Mann, Thomas",1875,1955,personal
"Mantz, Werner",1901,1983,personal
"Marc, Franz",1880,1916,personal
"Marcks, Gerhard",1889,1981,personal
"Marcuse, Ludwig",1894,1971,personal
"Masereel, Frans",1889,1972,personal
"Mataré, Ewald",1887,1965,personal
"Matta, Roberto Sebastian",1911,2002,personal
"Mattern, Hermann",1902,1971,personal
"Mattis Teutsch, Janos",1884,1960,personal
"Mebes, Paul",1872,1938,personal
"Mehring, Walter",1896,1981,personal
"Meier, Richard",1934,,personal
"Meistermann, Georg",1911,1990,personal
"Mendelsohn, Erich",1887,1953,personal
"Menuhin, Yehudi",1916,1999,personal
"Meyer, Hannes",1889,1954,personal
"Mies van der Rohe, Ludwig",1886,1969,personal
"Migge, Leberecht",1881,1935,personal
"Miró, Joan",1893,1983,personal
"Modigliani, Amedeo",1884,1920,personal
"Moholy-Nagy, László",1895,1946,personal
"Moll, Oskar",1875,1947,personal
"Mondrian, Piet",1872,1944,personal
"Moore, Charles Willard",1925,1993,personal
"Moore, Henry",1898,1986,personal
"Moos, Max von",1903,1979,personal
"Morandi, Giorgio",1890,1964,personal
"Morris, William",1834,1896,personal
"Moser, Karl",1860,1936,personal
"Muche, Georg",1895,1987,personal
"Müller-Hellwig, Alen",1901,1993,personal
"Münter, Gabriele",1877,1962,personal
"Muthesius, Hermann",1861,1927,personal
"Nay, Ernst Wilhelm",1902,1968,personal
"Nervi, Pier Luigi",1891,1979,personal
"Neumann, Otto",1895,1975,personal
"Neurath, Otto",1882,1945,personal
"Newton, Helmut",1920,2004,personal
"Niemeyer, Johannes",1889,1980,personal
"Niemeyer, Oscar",1907,,personal
"Nixon, Richard M.",1913,1994,personal
"Nolde, Emil",1867,1956,personal
"Nussbaum, Felix",1904,1944,personal
"Olbrich, Joseph Maria",1867,1908,personal
"Ossietzky, Carl von",1889,1938,personal
"Osthaus, Karl Ernst",1874,1921,personal
"Ostwald, Wilhelm",1853,1932,personal
"Otten, Karl",1889,1963,personal
"Otto, Frei",1925,,personal
"Pankok, Otto",1893,1966,personal
